source file name , phase name , phase input files , phase output file , arch , tool, metric , unit
C:/Users/user/Desktop/Git/CUDA/vec_add.cu C:/Users/user/Desktop/Git/CUDA/DS_timer.cpp  , cl.exe (linking) , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-28_vec_add_dlink.obj C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-20_vec_add.obj C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-23_DS_timer.obj  , C:/Users/user/Desktop/Git/CUDA/build/vec_add.exe ,  , nvcc , 187.6537 , ms
 , nvcc (driver) ,  , C:/Users/user/Desktop/Git/CUDA/build/vec_add.exe ,  , nvcc , 7.8599 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_add.cu , cl.exe (preprocessing 4) , C:/Users/user/Desktop/Git/CUDA/Vector/vec_add.cu  , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-10_vec_add.cpp4.ii ,  , nvcc , 503.7641 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_add.cu , cudafe++ , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-10_vec_add.cpp4.ii  , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-11_vec_add.cudafe1.cpp , compute_86 , nvcc , 854.8080 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_add.cu , cl.exe (preprocessing 1) , C:/Users/user/Desktop/Git/CUDA/Vector/vec_add.cu  , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-16_vec_add.cpp1.ii , compute_86 , nvcc , 521.5210 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_add.cu , cicc ,  C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-16_vec_add.cpp1.ii  , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-11_vec_add.ptx , compute_86 , nvcc , 691.1213 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_add.cu , ptxas , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-11_vec_add.ptx  , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-19_vec_add.cubin , sm_86 , nvcc , 35.5466 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_add.cu , fatbinary , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-19_vec_add.cubin  , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-8_vec_add.fatbin ,  , nvcc , 23.4333 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_add.cu , cl.exe (compiling) ,   , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-20_vec_add.obj , compute_86 , nvcc , 769.3246 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/DS_timer.cpp , cl.exe (compiling) , C:/Users/user/Desktop/Git/CUDA/Vector/DS_timer.cpp  , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-23_DS_timer.obj ,  , nvcc , 741.3228 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_add.cu C:/Users/user/Desktop/Git/CUDA/Vector/DS_timer.cpp  , nvlink , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-20_vec_add.obj C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-23_DS_timer.obj  , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-26_vec_add_dlink.cubin , sm_86 , nvcc , 31.7010 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_add.cu C:/Users/user/Desktop/Git/CUDA/Vector/DS_timer.cpp  , fatbinary , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-26_vec_add_dlink.cubin  , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-13_vec_add_dlink.fatbin ,  , nvcc , 22.3198 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_add.cu C:/Users/user/Desktop/Git/CUDA/Vector/DS_timer.cpp  , cl.exe (compiling) , C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5\bin\crt\link.stub  , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-28_vec_add_dlink.obj ,  , nvcc , 73.5900 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_add.cu C:/Users/user/Desktop/Git/CUDA/Vector/DS_timer.cpp  , cl.exe (linking) , C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-28_vec_add_dlink.obj C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-20_vec_add.obj C:/Users/user/AppData/Local/Temp/tmpxft_000028ec_00000000-23_DS_timer.obj  , C:/Users/user/Desktop/Git/CUDA/build/vec_add.exe ,  , nvcc , 187.2806 , ms
 , nvcc (driver) ,  , C:/Users/user/Desktop/Git/CUDA/build/vec_add.exe ,  , nvcc , 7.6826 , ms
C:/Users/user/Desktop/Git/CUDA/temp.cu , cl.exe (preprocessing 4) , C:/Users/user/Desktop/Git/CUDA/temp.cu  , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-10_temp.cpp4.ii ,  , nvcc , 267.0761 , ms
C:/Users/user/Desktop/Git/CUDA/temp.cu , cudafe++ , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-10_temp.cpp4.ii  , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-11_temp.cudafe1.cpp , compute_86 , nvcc , 688.7345 , ms
